brand,model,vram,gddr,boostClock,coreClock,lengthInMM,powerDraw
NVIDIA,Founders Edition GeForce RTX 4080,16,GDDR6X,2510,2210,304,
Asus,PRIME OC Radeon RX 9070,16,GDDR6,2610,2120,312,
Sapphire,PURE Radeon RX 9060 XT,16,GDDR6,3290,2220,240,
NVIDIA,Founders Edition GeForce RTX 3070,8,GDDR6,1730,1500,242,
Zotac,GAMING Twin Edge GeForce RTX 5070,12,GDDR7,2512,2160,242,
MSI,GT 710 2GD3H LP GeForce GT 710,2,GDDR3,954,954,146,
Sparkle,GUARDIAN OC Arc B570,10,GDDR6,2660,2500,242,
MSI,VENTUS 3X OC PLUS GeForce RTX 5080,16,GDDR7,,2300,303,
MSI,SUPRIM SOC GeForce RTX 5090,32,GDDR7,,2010,359,
ASRock,Challenger OC Arc B570,10,GDDR6,2600,2500,249,
EVGA,FTW3 ULTRA GAMING GeForce RTX 3080,10,GDDR6X,1800,1440,300,
Gigabyte,AORUS XTREME WATERFORCE GeForce RTX 5090,32,GDDR7,2655,2010,246,
Asus,DUAL OC GeForce RTX 3050,6,GDDR6,1537,1040,201,
Asus,TUF GAMING GeForce RTX 5080,16,GDDR7,,2300,348,
Asus,DUAL OC GeForce RTX 5070,12,GDDR7,2572,2160,249,
MSI,INSPIRE 3X OC GeForce RTX 5080,16,GDDR7,2655,2300,288,
XFX,Speedster SWFT 210 Core Radeon RX 6650 XT,8,GDDR6,2635,2055,241,
NVIDIA,Founders Edition GeForce RTX 4060 Ti,8,GDDR6,2540,2310,244,
MSI,VENTUS 2X OC GeForce RTX 5070,12,GDDR7,2557,2160,236,
Zotac,GAMING SOLO GeForce RTX 5060,8,GDDR6,2497,2280,164,
MSI,VENTUS 3X OC GeForce RTX 5090,32,GDDR7,,2010,325,
Gigabyte,GAMING OC Radeon RX 7700 XT,12,GDDR6,2599,1700,302,
Sparkle,TITAN OC Arc B580,12,GDDR6,2740,2670,317,
Zotac,Solid OC GeForce RTX 5080,16,GDDR7,2640,2300,330,
XFX,Mercury OC RGB Radeon RX 9070 XT,16,GDDR6,3100,1870,360,
Gigabyte,GAMING OC GeForce RTX 3070,8,GDDR6,1815,1500,286,
AMD,Radeon RX 6950 XT,16,GDDR6,2310,1890,267,
XFX,Speedster QICK 319 Core Radeon RX 7800 XT,16,GDDR6,2430,1295,335,
EVGA,KO ULTRA GAMING GeForce RTX 2060,6,GDDR6,1755,1365,202,
Asus,TUF GAMING OC GeForce GTX 1660 SUPER,6,GDDR6,1845,1530,206,
ASRock,Challenger Radeon RX 6600,8,GDDR6,2491,1626,269,
MSI,GAMING TRIO OC GeForce RTX 5060 Ti,16,GDDR7,2662,2410,300,
MSI,LP OC GeForce RTX 3050,6,GDDR6,1492,1040,174,
Gigabyte,GAMING OC Radeon RX 7800 XT,16,GDDR6,2565,1295,302,
MSI,VENTUS 2X OC GeForce RTX 4070,12,GDDR6X,2520,1920,242,
MSI,GeForce RTX 3080 VENTUS 3X 10G OC,10,GDDR6X,,1440,305,
Gigabyte,WINDFORCE OC GeForce RTX 5050,8,GDDR6,2587,2317,199,
Asus,ROG STRIX GAMING OC GeForce RTX 4090,24,GDDR6X,2640,2235,358,
XFX,Swift OC Radeon RX 9060 XT,8,GDDR6,3320,2220,270,
Asus,PRIME Radeon RX 9070 XT,16,GDDR6,2990,2460,312,
Asus,TUF GAMING OC GeForce RTX 4070 Ti,12,GDDR6X,2760,2310,305,
MSI,VENTUS XS OC GeForce GTX 1660 SUPER,6,GDDR6,1815,1530,204,
Gigabyte,GAMING OC GeForce RTX 5070,12,GDDR7,2625,2160,327,
Palit,GamingPro-S GeForce RTX 5070 Ti,16,GDDR7,2452,2300,332,
PNY,ARGB EPIC-X RGB OC GeForce RTX 5070,12,GDDR7,2685,2325,300,
XFX,Speedster QICK 319 Core Radeon RX 6750 XT,12,GDDR6,2600,2150,323,
Asus,DUAL EVO OC Radeon RX 7600,8,GDDR6,2715,1720,229,
Gigabyte,WINDFORCE OC GeForce RTX 5090,32,GDDR7,2467,2010,342,
Sapphire,NITRO+ Radeon RX 9060 XT,16,GDDR6,3320,2220,300,
Gigabyte,EAGLE OC SFF GeForce RTX 5070 Ti,16,GDDR7,,2542,304,
PowerColor,Hellhound OC Radeon RX 9060 XT,16,GDDR6,3310,2220,310,
NVIDIA,Founders Edition GeForce RTX 3080,10,GDDR6X,1710,1440,285,
Asus,TUF GAMING OC GeForce RTX 5090,32,GDDR7,,2010,348,
Gigabyte,WINDFORCE OC GeForce RTX 3060,12,GDDR6,1792,1320,198,
Asus,DUAL OC V2 GeForce RTX 4060,8,GDDR6,2535,1830,202,
