brand,model,chipset,socketType,format,ramSlots,ramCapacity,memoryType
MSI,B450 TOMAHAWK MAX,B450,AM4,ATX,4,128,DDR4
ASRock,B850M Steel Legend WiFi,B850M,AM5,Micro ATX,4,256,DDR5
ASRock,B650M-H/M.2+,B650M,AM5,Micro ATX,2,96,DDR5
Asus,TUF GAMING B760-PLUS WIFI,B760,LGA1700,ATX,4,192,DDR5
MSI,X870 GAMING PLUS WIFI,X870,AM5,ATX,4,256,DDR5
Gigabyte,B650 EAGLE,B650,AM5,ATX,4,192,DDR5
MSI,B840 GAMING PLUS WIFI,B840,AM5,ATX,4,256,DDR5
ASRock,X870 Pro RS,X870,AM5,ATX,4,256,DDR5
Gigabyte,Z790 AORUS ELITE X WIFI7,Z790,LGA1700,ATX,4,256,DDR5
MSI,PRO B840-P WIFI,B840,AM5,ATX,4,256,DDR5
Asus,ROG STRIX B850-G GAMING WIFI,B850G,AM5,Micro ATX,4,256,DDR5
Gigabyte,B650E AORUS ELITE X AX ICE,B650E,AM5,ATX,4,192,DDR5
MSI,PRO B850-P WIFI,B850,AM5,ATX,4,256,DDR5
Asus,ROG CROSSHAIR X670E HERO,X670E,AM5,ATX,4,192,DDR5
MSI,X870E GAMING PLUS WIFI,X870E,AM5,ATX,4,256,DDR5
Asus,ROG CROSSHAIR X870E HERO BTF,X870E,AM5,ATX,4,256,DDR5
MSI,MAG Z890 TOMAHAWK WIFI,Z890,LGA1851,ATX,4,256,DDR5
MSI,Z790 GAMING PLUS WIFI,Z790,LGA1700,ATX,4,256,DDR5
Gigabyte,B850M EAGLE WIFI6E ICE,B850M,AM5,Micro ATX,4,256,DDR5
Asus,TUF GAMING B650-E WIFI,B650,AM5,ATX,4,192,DDR5
MSI,MAG X670E TOMAHAWK WIFI,X670E,AM5,ATX,4,192,DDR5
Gigabyte,X870 GAMING WIFI6,X870,AM5,ATX,4,256,DDR5
Asus,TUF GAMING X870E-PLUS WIFI7,X870E,AM5,ATX,4,256,DDR5
Gigabyte,B650I AORUS ULTRA,B650I,AM5,Mini ITX,2,96,DDR5
Asus,ROG STRIX Z790-A GAMING WIFI II,Z790,LGA1700,ATX,4,192,DDR5
Asus,ROG STRIX B850-E GAMING WIFI,B850,AM5,ATX,4,256,DDR5
MSI,MAG Z790 TOMAHAWK WIFI,Z790,LGA1700,ATX,4,256,DDR5
MSI,B760 GAMING PLUS WIFI DDR4,B760,LGA1700,ATX,4,128,DDR4
MSI,B850M GAMING PLUS WIFI6E,B850M,AM5,Micro ATX,4,256,DDR5
ASRock,A520M-ITX/ac,A520M,AM4,Mini ITX,2,64,DDR4
Gigabyte,X870 AORUS STEALTH ICE,X870,AM5,ATX,4,256,DDR5
