brand,model,type,capacity,formFactor,interface,cache
KIOXIA,EXCERIA PLUS G3,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Kingston,NV3,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
Klevv,CRAS C910,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
Samsung,860 Evo,SSD,500,2.5",SATA 6.0 Gb/s,512
Crucial,T705,SSD,1000,M.2-2280,M.2 PCIe 5.0 X4,
Western Digital,Red Plus,5400 RPM,4000,3.5",SATA 6.0 Gb/s,256
Seagate,IronWolf Pro NAS,7200 RPM,20000,3.5",SATA 6.0 Gb/s,256
Seagate,Exos X22,7200 RPM,22000,3.5",SATA 6.0 Gb/s,512
Toshiba,MK3276GSX,5400 RPM,320,2.5",SATA 3.0 Gb/s,8
Seagate,Barracuda Compute,7200 RPM,2000,3.5",SATA 6.0 Gb/s,256
Samsung,970 Evo Plus,SSD,250,M.2-2280,M.2 PCIe 3.0 X4,512
Crucial,MX500,SSD,1000,2.5",SATA 6.0 Gb/s,1024
Crucial,T710,SSD,4000,M.2-2280,M.2 PCIe 5.0 X4,
Patriot,P300,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
PNY,CS900,SSD,2000,2.5",SATA 6.0 Gb/s,
Lexar,NM620,SSD,1000,M.2-2280,M.2 PCIe 3.0 X4,
Kingston,FURY Renegade G5,SSD,4096,M.2-2280,M.2 PCIe 5.0 X4,
Western Digital,Red Plus,5640 RPM,8000,3.5",SATA 6.0 Gb/s,256
MSI,SPATIUM M461,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Crucial,P5 Plus,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,2048
Western Digital,WD Blue SN5000,SSD,4000,M.2-2280,M.2 PCIe 4.0 X4,
Kingston,NV2,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Corsair,MP600 PRO XT,SSD,8000,M.2-2280,M.2 PCIe 4.0 X4,
Lexar,NM710,SSD,2000,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,Blue SA510,SSD,2000,2.5",SATA 6.0 Gb/s,
Crucial,T710,SSD,2000,M.2-2280,M.2 PCIe 5.0 X4,
ADATA,XPG GAMMIX S70 Blade,SSD,1000,M.2-2280,M.2 PCIe 4.0 X4,
Kingston,KC3000,SSD,512,M.2-2280,M.2 PCIe 4.0 X4,
Western Digital,Blue,SSD,1000,2.5",SATA 6.0 Gb/s,
Crucial,T700,SSD,1000,M.2-2280,M.2 PCIe 5.0 X4,
Seagate,Barracuda Compute,5400 RPM,8000,3.5",SATA 6.0 Gb/s,256
Seagate,IronWolf Pro,7200 RPM,4000,3.5",SATA 6.0 Gb/s,256
